,cell_type,marker,tissue
2246,T helper cell,"CCR6,CD3D,CD40LG,CD52,IL32,IL7R,TRAC,TRBC2",Kidney
2247,Natural killer cell,"CD160,FCGR3A,KLRB1,KLRD1,NKG7,PRF1,XCL1,XCL2",Kidney
2248,Mast cell,"FCER1A,KIT,SLC18A2,TPSB2",Kidney
2249,Plasmacytoid dendritic cell,"CLEC4C,IRF8,JCHAIN",Kidney
2250,CD8+ T cell,"CCL5,CD3D,CD8A,GZMK,TRAC,TRBC2",Kidney
2251,Plasma cell,"IGHA2,IGHG3,IGKC,JCHAIN,MZB1",Kidney
2252,Erythroblast,"AHSP,ALAS2,CA1,HBB,HBE1",Kidney
2253,Neutrophil,"CXCL8,FCGR3B,MNDA,SELL",Kidney
2254,Regulatory T (Treg) cell,"CD3D,CTLA4,FOXP3,IL32,TNFRSF18,TRAC,TRBC2",Kidney
2255,Natural killer T (NKT) cell,"CD3D,CD8A,GNLY,PRF1,TRGC2",Kidney
2256,Cancer cell,"CA9,NDUFA4L2,SLC17A3",Kidney
2257,Cancer cell,"ELF3,HNF1B,PODXL,PTPRO,WT1",Kidney
2258,Activated B cell,"CD19,CD86,MHCclassII",Undefined
2259,Activated T cell,"CD134,CD137,CD154,CD25,CD27,CD28,CD3,CD4,CD69,CD8,CD95,Ki67,KLRG1",Undefined
2260,Fat cell (adipocyte),"CD137,ACRP30,ADIPOR1,ADIPOR2,CIDEA,CHC22,DLK2,FABP4,FATP1,FATP2,FATP4,FATP5,FATP6,gACRP30,Galectin-12,GLUT4,Leptin,Perilipin-2,PGC-1-alpha,PPARgamma,DLK1,BSCL2,UCP1,VSTM2A,VSTM2B,ZIC1",Adipose tissue
2261,Adipose-derived stem cell,"CD105,CD146,CD271,CD31,CD34,CD45",Adipose tissue
2262,Astrocyte,"CD40,CD80,CD86,CD88,GFAP",Brain
2263,Astrocyte,GFAP,Undefined
2264,Astrocyte,"ALDH1L1,GLAST,GLT1,GFAP,Glutaminesynthetase,S100-beta",Undefined
2265,B cell,"BCR,CCR10,CD10,CD115,CD11b,CD11c,CD122,CD126,CD127,CD130,CD138,CD14,CD152,CD16,CD163,CD183,CD185,CD19,CD192,CD194,CD196,CD1c,CD1d,CD20,CD21,CD212,CD217,CD218a,CD22,CD229,CD23,CD24,CD25,CD268,CD27,CD279,CD284,CD31,CD319,CD32,CD34,CD38,CD39,CD40,CD43,CD45,CD45RA,CD45RO,CD48,CD49d,CD5,CD62L,CD68,CD69,CD73,CD78,CD79a,CD79b,CD80,CD81,CD83,CD84,CD86,CD9,CXCR3,Flt3,IgM,IL-13alpha1,IL-21R,MHCclassII,RAG,ZAP70",Undefined
2266,B cell,"B220,BAFF-R,CD137,CD138,CD19,CD2,CD20,CD21,CD22,CD23,CD267,CD35,CD40,CD45R,CD5,CD69,CD70,CD79a,CD79b,CD80,CD86,IgD,IgM,OX40L,PD-1",Undefined
2267,B cell,CD19,Undefined
2268,B cell,CD19,Blood
2269,B cell,"CD19,CD20,CD22,CD70,CD79a,CD79b",Undefined
2270,Basophil,"CCR3,CD107a,CD123,CD13,CD203c,CD44,CD54,CD63,CD69,Fc-epsilonRI-alpha,IgE,TLR4",Undefined
2271,Basophil,"CD19,CD22,CD45,CD123",Undefined
2272,Basophil,"CEBPA,CD11a,CD123,CD125,CD13,CD154,CD16,CD192,CD203c,CD218,CD25,CD281,CD282,CD284,CD286,CD289,CD294,CD33,CD38,CD43,CD88,CD9,Fc-epsilonRI-alpha,GATA2",Undefined
2273,Basophil,"CD117,CD11b,CD123,CD15,CD203c",Peripheral blood
2274,Cancer stem cell,"ALDH1A1,Integrinalpha6,BMI1,CD133,CD24,CD44,CD90,CXCR4,EpCAM,GLI1,LGR5",Undefined
2275,Cancer stem cell,"ABCG2,ALCAM,CD133",Undefined
2276,Cancer stem cell,"CD117,CD133,CD24,CD44",Undefined
2277,Cancer stem cell,"CD123,CD34,CD38,CD44,TIM-3",Undefined
2278,Cancer stem cell,"AldehydeDehydrogenase1-A1,CD44,CD47,CEACAM6",Undefined
2279,Cancer stem cell,"ALDH1A1,BMI1,CD133,CD24,CD44,GJA1,CXCR1,CXCR4,DLL4,EpCAM,ERBB2,GLI1,GLI2,IL-1alpha,IL-6R-alpha,CD49f,PON1,PTEN",Undefined
2280,Cancer stem cell,"CD166,ALDH1A1,CD133,CD44,CD26,EpCAM,GLI1,LGR5,Musashi-1",Undefined
2281,Cancer stem cell,"CD44,DLL4,LGR5",Undefined
2282,Cancer stem cell,"TNFAIP3,ABCG2,ALDH1A1,BMI1,c-Maf,c-Myc,CD133,CD15,CD44,CX3CL1,CX3CR1,CXCR4,EPAS1,IL-6R-alpha,CD49f,L1CAM,Musashi-1,Nestin,Podoplanin,SOX2",Undefined
2283,Cancer stem cell,"ABCG2,ALDH1A1,BMI1,CD44,c-MET,LGR5",Undefined
