,cell_type,marker,tissue
0,Proximal tubular cell,IntestinalAlkalinePhosphatase,Kidney
1,Ito cell (hepatic stellate cell),Synaptophysin,Liver
2,Trophoblast cell,CEACAM1,Endometrium
3,Primordial germ cell,VASA,Germ
4,Epithelial cell,KLF6,Corneal epithelium
5,Cytotrophoblast,FGF10,Placenta
6,Periosteum-derived progenitor cell,"CD166,CD45,CD9,CD90",Periosteum
7,Amnion epithelial cell,"NANOG,OCT3/4",Amniotic membrane
8,Primitive streak cell,"LHX1,MIXL1",Primitive streak
9,Stromal vascular fraction cell,CD34,Adipose tissue
10,Bulge stem cell,CD200,Scalp
11,Semilunar valve cell,MMP-13,Heart
12,Villous stromal cell,"NOV,CYR61",Chorionic villus
13,Kupffer cell,"CD11b,CD14,CD18,CD32,CD68",Liver
14,Adipose-derived stromal cell,"CD144,CD31,CD34",Adipose tissue
15,Oligodendrocyte,NOGO,Brain
16,Mesenchymal stem cell,CD44,Amniotic fluid
17,Cartilage progenitor cell,"CD146,COL2",Cartilage
18,Osteocyte,"DMP1,E11,MEPE,PHEX,SOST",Bone
19,Osteoclast,"CD56,RUNX2",Bone
20,Bipolar cell,"Aquaporin-0,Go-alpha,ISLET-1",Retina
21,Muller cell,GS,Retina
22,Monocyte,"CD11b,CD16,CD19,CD2,CD3,CD56,CD94,NKG2A",Peripheral blood
23,Natural killer cell,"CD11b,CD16,CD19,CD2,CD3,CD56,CD94,NKG2A",Blood
24,Cancer stem cell,"BMI1,CD44,NANOG,OCT4",Tongue
25,Mesenchymal stem cell,"CD105,CD166,CD29,CD44,CD49e,CD73,CD90",Gingiva
26,Cancer stem cell,"ALDH,ALDH1,CD44",Undefined
27,Mesenchymal stem cell,"CD105,CD14,CD31,CD34,CD44,CD73,CD90",Undefined
28,Monocyte,"CD14,CD19,CD20,CD27,CD3,CD38,IgA,IgG",Peripheral blood
29,Endometrial stem cell,"ICAM1,SUSD2",Uterus
30,Cancer stem cell,SOX9,Liver
31,Mesenchymal stem cell,"CD105,STRO-1",Dental pulp
32,Natural killer cell,CD56,Breast
33,Dental pulp stem cell,"CD105,CD29,CD44,CD73",Dental pulp
34,Cancer stem cell,KIAA1114,Liver
35,B cell,"CD19,CD27,CD38,CD45,IgD,ZAP70",Peripheral blood
36,Adipose-derived stem cell,"CD146,CD90,KLF4,NANOG,Nestin,OCT4,PDGFR,SOX2",Adipose tissue
37,Preadipocyte progenitor cell,"CD34,PDGFR-alpha",Adipose tissue
38,Cancer stem cell,CD271,Undefined
39,Regulatory T (Treg) cell,"CD49b,LAG3",Undefined
40,Cancer stem cell,CD49f,Stomach
41,Nucleus pulposus cell,"CA12,CD24,FOXF1,KRT19,PAX1,PTN",Nucleus pulposus
42,Urine-derived stem cell,"CD105,CD146,CD34,CD45,CD73,CD90,OCT3/4,STRO-1",Urine
43,Fibroblast,COL11A1,Pancreas
44,Fibroblast,CD90,Undefined
45,Immune cell,"CD11a,CD11b,CD170,CD172g,CD18,CD195,CD2,CD229,CD28,CD3,CD305,CD319,CD32,CD352,CD4,CD43,CD45,CD45RB,CD45RO,CD48,CD5,CD50,CD52,CD53,CD6,CD60b,CD69,CD7,CD85a,CD86,CD96,CDW198,HLA-DR",Undefined
46,Endothelial cell,"CD123,CD144,CD201,CD202b,CD220,CD231,CD269,CD292,CD309,CD332,CD66,CD66d,CD73,CD77,HPC",Undefined
47,Fibroblast,"CD111,CD140b,CD156b,CD271",Undefined
48,Endothelial cell,CD209,Undefined
49,T cell,CD150,Undefined
50,B cell,CD150,Undefined
51,Thymocyte,CD150,Undefined
52,Dendritic cell,CD150,Undefined
53,Neutrophil,CD16b,Undefined
54,B cell,FMC7,Undefined
55,Lymphocyte,CD197,Undefined
56,Cancer stem cell,CD133,Brain
57,Endothelial progenitor cell,"CD34,CD45,VEGFR-2",Peripheral blood
58,Endothelial cell,"CD133,CD144,CD34,CD45",Peripheral blood
59,Tumor endothelial cell,SBSN,Kidney
60,Tumor endothelial cell,SBSN,Colon
61,Premeiotic germ cell,MAGE-A4,Gonad
62,Gonocyte,OCT3/4,Gonad
63,Mesenchymal stem cell,"CD31,CD34,CD44,CD45,CD73,CD90,CD105",Adipose tissue
64,Gonocyte,SSEA-4,Testis
65,Spermatogonial stem cell,SSEA-4,Testis
66,Sertoli cell,SSEA-4,Testis
67,Gonocyte,THY1,Testis
68,Gonocyte,c-Kit,Testis
69,Mesenchymal stromal cell,"beta-2-microglobulin,CD105,CD13,CD147,CD151,CD276,CD29,CD44,CD47,CD59,CD73,CD81,CD90,CD98,HLA-ABC,Vimentin",Bone marrow
70,Pancreatic stem cell,c-Kit,Pancreas
71,Myeloid-derived suppressor cell,"CD11b,CD33,CD39",Peripheral blood
72,Myeloid-derived suppressor cell,"CD11b,CD11c,CD14,CD1d,CD220,CD226,CD24,CD244,CD328,CD33,CD39,CD42b,CD46,CD49a,CD49d,CD49e,CD49f,CD52,CD53,CD54,CD56,CD62L,CD62P,CD66a,CD66c,CD66e,CD69,CD71,CD81,CD84,CD85d,CD85h,CD85j,CD85k",Peripheral blood
73,Cancer stem cell,"CADM1,CLCC1,HMOX1,SCAMP3,SLC16A1",Brain
74,Mesenchymal stem cell,"CD29,CD73,CD90,D105",Undefined
75,Cancer stem cell,ALDH1,Breast
76,CD4+ T cell,CCR6,Colon
77,CD4+ T cell,CCR6,Blood
78,Anterior foregut endoderm cell,CarboxypeptidaseM,Lung
79,Cancer stem cell,"CD24,CD44",Breast
80,Dendritic cell,"CD40,CD80,CD86,MHCclassII",Bone marrow
81,Endoderm progenitor cell,"CD133,CD31,CD34",Adipose tissue
82,Natural killer cell,CD94,Blood
83,Circulating fetal cell,"ACTB,ATF4,CD33,CD68,CD9,CDC42_1,CLDN6,COL1A2,CRABP1,CRIP1,CRYL1,CTNNB1,DLX5,EN1,F11R,FIGD,FOXA2,GATA5,HAMP,HMGA1,IL7R,JUN,JUNB,KCNQ4,MCAM,MMP9,NCAM1,OLIG2,PBLD,PDGFC,PF4,PUM2,SELE,SELPLG,SMAD3,SMC3,SOX13,TCF3,TNC",Blood
84,Neural progenitor cell,"CD271,GFAPdelta",Brain
85,Astroglial progenitor cell,PBXIP1,Embryo
86,Cancer stem cell,FLT1,Undefined
87,Endothelial cell,"CD31,VWF",Skin
88,Cancer stem cell,"CD34,CD38",Undefined
89,Cancer stem cell,"CD133,CD24,CD44",Undefined
90,Endothelial cell,CD31,Undefined
91,Natural killer cell,"CD49a,CXCR6",Peripheral blood
92,Paneth cell,AMACR,Undefined
93,Cancer stem cell,CD133,Undefined
94,Epithelial cell,"EpCAM,FZ4,K8,WNT4",Thymus
95,Mesenchymal stromal cell,CD90,Blood vessel
96,Hepatoblast,"CD45,CD71,DLK1,PDGFR-alpha,TER119",Liver
97,Mesenchymal cell,"CD45,CD71,DLK1,PDGFR-alpha,TER119",Liver
98,Endothelial cell,"CD45,CD71,DLK1,FLK1,TER119",Liver
99,Hematopoietic cell,CD45,Liver
100,Hematopoietic cell,CD71,Liver
101,Hematopoietic cell,TER119,Liver
102,Cancer stem cell,CD133,Liver
103,Cancer stem cell,CXCR4,Undefined
104,Mesenchymal stem cell,CD90,Synovial fluid
105,CD4+ T cell,"CD3,CD4",Liver
106,CD8+ T cell,"CD3,CD8",Liver
107,Monocyte,CD14,Liver
108,Dendritic cell,"CD11c,HLA-DR",Liver
109,Natural killer cell,CD16,Liver
110,B cell,"CD19,CD20",Liver
111,Cancer stem cell,CD44v8-10,Stomach
112,Periodontal stem cell,"SSEA-4,STRO-1",Periodontal ligament
113,Natural regulatory T (Treg) cell,CD6,Blood
114,FOXP3+ natural regulatory T (Treg) cell,"CD25,CD6,CD4",Blood
115,Cancer stem cell,CD133,Stomach
116,Dendritic cell,CD83,Peripheral blood
117,Beige adipogenic precursor cell,EBF2,Adipose tissue
118,Brown adipogenic precursor cell,EBF2,Adipose tissue
119,Platelet,CD14,Blood
120,Leukocyte,CD42b,Blood
121,Cytotoxic T cell,"CD3,CD8",Liver
122,Natural killer T (NKT) cell,"CD3,CD56",Liver
123,T helper cell,"CD3,CD4",Liver
124,T cell,CD3,Liver
125,Memory T cell,"CD3,CD45RO",Liver
126,B cell,CD19,Liver
127,Monocyte,"CD14,CD16",Liver
128,T helper cell,"CD3,CD4",Peripheral blood
129,Memory T cell,"CD3,CD45RO",Peripheral blood
130,Regulatory T (Treg) cell,"CD25,CD3,CD4,FOXP3",Peripheral blood
131,T helper1 (Th1) cell,"CD3,CD4,IFN-gamma",Peripheral blood
132,T helper2 (Th2) cell,"CD3,CD4,IL-4",Peripheral blood
133,T helper17 (Th17) cell,"CD3,CD4,IL17Ra",Peripheral blood
134,Endothelial progenitor cell,"CD133,CD31,CD34,CD45",Peripheral blood
135,Endothelial cell,"CD133,CD31,CD34,CD45",Peripheral blood
136,Mesenchymal stromal cell,"CD105,CD34,CD45,CD73,CD90",Undefined
137,Cancer stem cell,"CD44,EpCAM",Undefined
138,Cancer stem cell,CD133,Lung
139,Monocyte,CD14,Lung
140,Plasmacytoid dendritic cell,NRP1,Lung
141,T helper cell,CD42b,Lung
142,Monocyte,CD14,Blood
143,Plasmacytoid dendritic cell,NRP1,Blood
144,T helper cell,CD42b,Blood
145,Cancer stem cell,PIWIL1,Undefined
146,Lymphatic endothelial cell,"CD31,CD34,Podoplanin,PROX1,VEGFR-3",Lymph node
147,Fibroblast,"CD105,CD11b,CD19,CD34,CD44,CD45,CD73,CD90,HLA-DR",Undefined
148,Platelet,CD41,Peripheral blood
149,T cell,CD3,Colorectum
150,Endothelial progenitor cell,"CD133,CD34,CD45",Blood
151,Endocrine cell,CD99,Pancreatic islet
152,Mesenchymal stromal cell,"CD105,CD34,CD45,CD90,HLA-DR",Placenta
153,Responder T cell,"CD25,CD4,GARP",Blood
154,Regulatory T (Treg) cell,GARP,Blood
155,Cancer stem cell,"ALDH,CD24,CD44",Undefined
156,Mesenchymal stem cell,"CD34,CD45,CD73,CD90",Bone marrow
157,Cancer stem cell,CD44,Blood
158,Cancer stem-like cell,CD133,Undefined
159,Mesenchymal stem cell,"CD105,CD14,CD29,CD34,CD44,CD45,CD73,CD90",Adipose tissue
160,Cancer stem cell,CD44,Undefined
161,Adipose-derived stem cell,"CD106,CD29,CD31,CD34,CD45,CD90",Adipose tissue
162,Mesenchymal stem cell,"CD105,CD34,CD45,CD73,CD90",Bone marrow
163,Cancer stem cell,"CD24,CD44",Breast
164,Cancer stem cell,"ALDH1,CD133,CD166,CD44,CD90",Lung
165,Cancer stem cell,"CD133,CD166,CD24,CD44",Colon
166,Cancer stem cell,SOX2,Skin
167,Macrophage,CD68,Synovium
168,Fibroblast,CD90,Synovium
169,T cell,CD3,Synovium
170,B cell,CD20,Synovium
171,Naive B cell,"CD19,CD27,IgD",Peripheral blood
172,Class-switched memory B cell,"CD19,CD27,IgD",Peripheral blood
173,Non-switched memory B cell,"CD19,CD27,IgD",Peripheral blood
174,Double-negative B cell,"CD19,CD27,IgD",Peripheral blood
175,Transitional B cell,"CD19,CD24,CD38",Peripheral blood
176,Plasmablast,"CD19,CD24,CD38",Peripheral blood
177,Adipose-derived stem cell,"CD105,c-Kit",Adipose tissue
178,Cancer stem cell,CD90,Pancreas
179,Cancer stem cell,"CD133,CD24",Liver
180,Oral keratinocyte stem cell,"CD71,Integrinalpha6beta4",Oral mucosa
181,Mesenchymal stromal cell,"CD105,CD44,CD73,CD90",Adipose tissue
182,Urine-derived stem cell,"CD105,CD117,CD133,CD14,CD146,CD24,CD29,CD31,CD34,CD44,CD45,CD73,CD90,SSEA-4,STRO-1",Urine
183,Myogenic endothelial cell,"CD144,CD34,CD45,CD56",Skeletal muscle
184,Pericyte,"CD146,CD34,CD45,CD56",Skeletal muscle
185,Adventitial cell,"CD31,CD34,CD45,CD56",Skeletal muscle
186,White blood cell,CD45,Blood
187,Cancer stem cell,LIN28B,Undefined
188,Mesenchymal stem cell,"CD105,CD14,CD166,CD34,CD45,CD73,CD90,HLA-ABC,HLA-DR,MHCclassI",Endometrium
189,Cancer stem cell,CD133,Undefined
190,Cancer stem cell,"CD105,CD14,CD29,CD31,CD34,CD44,CD45,CD73,CD90",Undefined
191,Pigment epithelial cell,RPE65,Eye
192,Bipolar cell,PKC-alpha,Eye
193,Amacrine cell,CRABPI,Eye
194,Neural progenitor cell,Nestin,Eye
195,Immature transitional B cell,"CD19,CD24,CD38",Blood
196,Naive B cell,"CD19,CD24,CD38",Blood
197,Memory B cell,"CD19,CD27",Blood
198,Naive B cell,"CD27,IgD",Blood
199,Non-switched B cell,"CD27,IgD",Blood
200,Switched memory B cell,"CD27,IgD",Blood
201,Transitional B cell,"CD24,CD38",Blood
202,Plasmablast,"CD38,IgM",Blood
203,Effector CD4+ memory T (Tem) cell,"CCR7,CD45RA",Blood
204,Endothelial progenitor cell,"CD133,KDR",Peripheral blood
205,Esophageal mucosal cell,DCLK1,Esophagus
206,Hematopoietic stem cell,CD133,Umbilical cord blood
207,Hematopoietic progenitor cell,CD34,Umbilical cord blood
208,B cell,CD20,Undefined
209,Mesenchymal stem cell,"CD105,CD34,CD44,CD45,CD90",Periodontal ligament
210,Cancer stem cell,EpCAM,Liver
211,Mesenchymal stromal cell,"CD105,CD166,CD73,CD90",Amniotic membrane
212,Cancer stem cell,CD24,Undefined
213,Neural crest stem cell,"CD271,CD49d,HNK1",Hair follicle
214,Myeloid stem cell,humanmyeloidinhibitoryC-lectin,Peripheral blood
215,Hematopoietic stem cell,"CD34,CD38,CD90",Bone marrow
216,Germinal center B cell,"GCET2,HGAL",Undefined
217,Pluripotent stem cell,"CDH11,EFNA2,GPC3,PRSS50",Undefined
218,Pluripotent stem cell,"CD112,CD31,CD326,CD49f",Undefined
219,Cancer stem-like cell,CD133,Undefined
220,B cell,"AID,CD10,CD257,CD28,CD38,CD71,CD86",Blood
221,T cell,"CCR7,CD127,CD25,CD27,CD272,CD28,CD3,CD4,CD45RA,CD45RO,CD62L,CD8,CTLA4,PD-1,TIM3",Peripheral blood
222,B cell,"CD19,CD20,CD21,CD24,CD27,CD38,CD45,CD5,IgD,IgM",Peripheral blood
223,Myeloid cell,"CD11b,CD11c,CD123,CD15,CD16,CD33,CD45,CD66b,HLA-DR,LIN2",Peripheral blood
224,Monocyte,"B7H1,CD14,CD142,CD16,CD32,CD40,CD45,CD64,CD80,CD86,HLA-DR,PD-1,TNFR2",Peripheral blood
225,Granulocyte,"CCR3,CD14,CD15,CD16,CD203c,CD44,CD45,CD49d,CD63,CD66b",Peripheral blood
226,Classical monocyte,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
227,Intermediate monocyte,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
228,Non-classical monocyte,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
229,Suppressive monocyte,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
230,Monocyte derived dendritic cell,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
231,CD16+ dendritic cell,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
232,Immature myeloid cell,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
233,Neutrophil,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
234,Granulocyte,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
235,Eosinophil,"CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,HLA-DR",Peripheral blood
236,Regulatory T (Treg) cell,"CD127,CD49d",Blood
237,Unrestricted somatic stem cell,"CD105,CD166,CD34,CD44,CD73,CD90",Undefined
238,Mesenchymal stem cell,"CD105,CD166,CD34,CD44,CD73,CD90",Undefined
239,Transitional B cell,"CD19,CD27,CD38,IgD",Peripheral blood
240,Naive B cell,"CD19,CD27,CD38,IgD",Peripheral blood
241,Non-switched memory B cell,"CD19,CD27,IgD",Peripheral blood
242,Switched memory B cell,"CD19,CD27,IgD",Peripheral blood
243,Double-negative memory B cell,"CD19,CD27,IgD",Peripheral blood
244,Plasma cell,"CD19,CD27,CD38,IgD",Peripheral blood
245,Granulosa cell,"CHST8,FSHR,GLDC,GPX3,MGARP",Ovarian follicle
246,Theca interna cell,"CYP17,FBLN5,OGN,RAMP2",Ovarian follicle
247,Beta cell,GPR44,Undefined
248,Mesenchymal stem cell,"CD105,CD29,CD31,CD44,CD45,CD73,CD90",Adipose tissue
249,Alveolar epithelial progenitor cell,TM4SF1,Lung
250,Limbal stem cell,"ABCG2,CK14,P63",Limbal epithelium
251,Cancer stem cell,ABCG2,Undefined
252,Mesenchymal stem cell,"CD105,CD90,STRO-1",Oral mucosa
253,Cancer stem cell,IL1RAP,Undefined
254,Cancer stem cell,"ALDH1,CD133",Colorectum
255,Cancer stem cell,CD24,Oral cavity
256,Cancer stem cell,SOX12,Undefined
257,Primordial germ cell,"CyclinA2,GLUT3",Undefined
258,Liver progenitor cell,Brainisoformglycogenphosphorylase,Liver
259,Dental pulp stem cell,3C4,Dental pulp
260,Mesenchymal stromal cell,"CD14,CD19,CD29,CD34,CD73,CD9,HLA-DR",Nasal concha
261,Monocyte,"CD117,CD158a,CD158b,CD16,CD161,CD3,CD49a,CD49b,CD56,CD57,CXCR6,NKG2C,NKp46",Peripheral blood
262,Hematopoietic stem cell,"CD117,CD133,CD34",Breast
263,Mesenchymal stem cell,"CD105,CD73,CD90",Breast
264,Myoepithelial cell,"CD29,CD44",Breast
265,Immune cell,"CD13,CD14,CD209,CD45,CD83,CD86,HLA-DR",Breast
266,Endometrial stem cell,"ABCG2,CD105,CD106,CD117,CD133,CD140b,CD146,CD166,CD29,CD31,CD34,CD44,CD45,CD49d,CD54,CD73,CD90,Nestin,OCT4,SOX2,SSEA-4",Endometrium
267,Oviduct-derived stem cell,"ABCG2,CD105,CD106,CD117,CD133,CD140b,CD146,CD166,CD29,CD31,CD34,CD44,CD45,CD49d,CD54,CD73,CD90,OCT4,SOX2,SSEA-4",Oviduct
268,Mesenchymal stem cell,N-cadherin,Undefined
269,Cancer stem cell,Nestin,Undefined
270,Mesenchymal stem cell,"CD105,CD4,CD73,CD90",Bone marrow
271,Cancer stem cell,"BMI1,CD133,GLUT3,Musashi-1,Nestin,SOX2",Brain
272,Endothelial cell,"CD105,CD106,CD112,CD146,CD166,CD325,CD34,CD44,CD47,CD54,CD73,CD90",Cornea
273,Cancer cell,"A2B5,GFAP,GS",Undefined
274,Limbal mesenchymal cell,"CD105,CD34,N-cadherin,Vimentin",Sclerocorneal tissue
275,Macrophage,"CCR7,CD163,CD206",Intervertebral disc
276,Cancer stem cell,GLI1,Breast
277,Mesenchymal stem cell,"CD105,CD29,CD34,CD44,CD45,CD73,HLA-DR",Placenta
278,Platelet,CD41,Plasma
279,Monocyte,CD14,Plasma
280,Endothelial cell,"CD31,CD42b",Plasma
281,Red blood cell (erythrocyte),CD235a,Plasma
282,Mesenchymal stem cell,"CD105,CD29,CD34",Peripheral blood
283,Mesenchymal stem cell,"CD105,CD44,CD73,CD90",Dental pulp
284,Pluripotent stem cell,TNAP,Embryoid body
285,Adipose multilineage-differentiating stress-enduring cell,"CD105,CD90,SSEA-3",Adipose tissue
286,T cell,CD3,Kidney
287,Monocyte,CD68,Kidney
288,B cell,CD19,Kidney
289,Regulatory B cell,"CD19,CD1d",Peripheral blood
290,Macrophage,CD14,Peripheral blood
291,Neural stem cell,"CD133,Nestin,SOX2",Inferior colliculus
292,Cardiac progenitor cell,SLC8A1,Undefined
293,Cancer stem cell,CD44,Undefined
294,T cell,CD3,Blood
295,B cell,CD20,Blood
296,Endothelial progenitor cell,"CD133,CD34,VEGFR-2",Peripheral blood
297,CD4+ T cell,GLUT1,Peripheral blood
298,Pluripotent very small embryonic-like cell,"CD133,OCT4A,SSEA-4",Ovary
299,Ovarian germ stem cell,OCT4,Ovary
300,Primordial germ cell,"STELLA,VASA",Ovary
301,Germ cell,"DAZL,GDF9,SCP3",Ovary
302,Pluripotent stem cell,"NANOG,OCT4,SOX2,SSEA-1,SSEA-4",Ovarian cortex
303,Germline stem cell,"DDX4,IFITM3",Ovarian cortex
304,Cancer stem cell,"CD44,LGR5",Ovarian cortex
305,Circulating stem like cell,"CD44v6,NANOG",Peripheral blood
306,Ito cell (hepatic stellate cell),CD271,Liver
307,Adipose-derived stem cell,"CD105,CD90,NANOG,OCT4,SOX2",Subcutaneous adipose tissue
308,Cancer stem cell,"CD133,CD44",Colorectum
309,Endothelial cell,"CD31,VWF",Adipose tissue
310,Circulating progenitor cell,"ALDH,CD133,CD34",Blood
311,Lymphocyte,"AnnexinV,CX3CR1",Blood
312,Cancer stem cell,"CD133,CD44",Undefined
313,Prostate stem cell,CD44,Prostate
314,M2 macrophage,"CD14,CD163",Peripheral blood
315,Epithelial cell,Cytokeratin-19,Blood
316,Cancer stem cell,CXCR4,Kidney
317,Spermatogonial stem cell,"GPR125,ID4",Testis
318,Cancer stem cell,CD133,Kidney
319,Circulating precursor cell,"CD133,CD34,CD45",Peripheral blood
320,Endothelial precursor cell,"CD31,KDR",Peripheral blood
321,T cell,"CD3,CD4,CD8",Lymph node
322,Cardiomyocyte progenitor cell,"CD34,SSEA-4",Myocardium
323,Dendritic cell,"CD11c,CD209,CD83",Undefined
324,Cancer stem cell,"ALDH1,CD24,CD44",Breast
325,Smooth muscle cell,"alpha-smoothmuscleactin,Desmin",Undefined
326,Urothelium cell,"Pancytokeratin,UroplakinIII",Undefined
327,Amniotic fluid stem cell,"CD44,CD105,CD73,CD90",Amniotic fluid
328,Dental pulp stem cell,"CD34,CD45,CD146,STRO-1",Deciduous tooth
329,Natural killer cell,"CD3,CD56",Blood
330,Cancer stem-like cell,"CD13,CD133,CD15,CD166,CD326,CD44",Undefined
331,Cancer stem cell,Nectin-4,Breast
332,Spermatogonial stem cell,SSEA-4,Testis
333,Testis somatic cell,THY1,Testis
334,Photoreceptor cell,"CRX,Nestin,Peripherin,PKC,Recoverin,Rhodopsin,RPE65",Retina
335,Endothelial cell,CD31,Undefined
336,Neural crest cell,"NG2,Nestin",Undefined
337,Pericyte,"Calponin,CD90,DLK,NG2,PDGF-A,SMA",Undefined
338,Cancer stem cell,"c-Myc,EZH2,NANOG,OCT4,SOX2",Undefined
339,Placenta cell,CDX2,Placenta
340,Myeloid dendritic cell,CD11c,Thymus
341,Cartilage progenitor cell,CD146,Cartilage
342,Fibroblast,"CD10,GPR77",Undefined
343,Cancer stem-like cell,"CD133,CXCR4",Endometrium
344,Mesenchymal stem cell,"CD105,CD44,CD73,CD90",Synovial fluid
345,T helper cell,CD4,Salivary gland
346,T cell,CD5,Salivary gland
347,B1 cell,CD5,Salivary gland
348,B cell,CD20,Salivary gland
349,Plasma cell,CD138,Salivary gland
350,Follicular helper (Tfh) T cell,"BCL6,CD3",Salivary gland
351,T helper17 (Th17) cell,"CCR6,CD146",Peripheral blood
352,Adipose-derived stem cell,"CD105,CD73,CD90",Adipose tissue
353,Cancer stem cell,Keratin-19,Undefined
354,Mesenchymal progenitor cell,CD146,Bone marrow
355,Dental pulp stem cell,ALDH1,Dental pulp
356,Endothelial cell,CD31,Lung
357,Basal cell,Gal-3,Undefined
358,Mesenchymal stromal cell,"CD105,CD14,CD19,CD31,CD34,CD44,CD45,CD73,CD90",Tonsil
359,Mesenchymal stromal cell,"CD105,CD14,CD19,CD31,CD34,CD44,CD45,CD73,CD90",Bone marrow
360,Mesenchymal stem cell,"CD105,CD44,CD73",Amniotic membrane
361,Endothelial progenitor cell,"CD133,CD34,EGFR2",Blood
362,Cancer stem cell,CD133,Undefined
363,Granulocyte,CD66b,Blood
364,Classical monocyte,"CD14,CD16",Blood
365,Intermediate monocyte,"CD14,CD16",Blood
366,Non-classical monocyte,"CD14,CD16",Blood
367,Hepatocyte,Albumin,Liver
368,Endothelial cell,CD146,Liver
369,Ito cell (hepatic stellate cell),alpha-smoothmuscleactin,Liver
370,Kupffer cell,"CD14,CD163,CD68",Liver
371,Hematopoietic stem cell,Integrinalpha-2,Umbilical cord blood
372,Myoepithelial cell,"Calponin,P63",Undefined
373,Gastric stem cell,LGR5,Gastric gland
374,Cancer stem cell,LGR5,Undefined
375,Side-population cell,CD44,Undefined
376,Regulatory T (Treg) cell,GITR,Blood
377,Cancer stem cell,CD166,Undefined
378,Cancer stem cell,"CD24,CD44",Breast
379,Mesenchymal stem cell,CD49f,Bone marrow
380,Cancer stem cell,IL1RAP,Undefined
381,Germinal center B cell,CD9,Tonsil
382,Endometrial stem cell,IPO13,Endometrium
383,Endometrial progenitor cell,IPO13,Endometrium
384,Cancer stem cell,"CD117,STRO-1",Undefined
385,Cancer stem cell,IL1RAP,Peripheral blood
386,Cancer stem cell,IL1RAP,Bone marrow
387,Cancer stem cell,CD133,Undefined
388,Retinal progenitor cell,c-Kit,Retina
389,Mesenchymal stem cell,"CD105,CD34,CD90,STRO-1",Oral mucosa
390,Vaginal cell,"Loricrin,Stratifin",Vagina
391,Muscle satellite cell,NCAM,Muscle
392,Endothelial cell,"CD34,CD45",Muscle
393,Inflammatory cell,"CD34,CD45",Muscle
394,Macrophage,CD14,Bone marrow
395,Lymphocyte,"CD14,CD45",Bone marrow
396,Epithelial cell,"CD14,CD45,EpCAM",Bone marrow
397,Cancer stem cell,CD44,Stomach
398,Spermatogonium,"ITGB1,c-Kit",Testis
399,Platelet,CD42b,Liver
400,Cancer stem cell,Aldehydedehydrogenase1,Undefined
401,Vascular stem cell,"CD117,Ki67",Blood
402,Vascular progenitor cell,"CD117,Ki67",Blood
403,Cancer stem cell,CD44,Blood
404,Mesenchymal stem cell,"CD10,CD73,CD90",Bone marrow
405,Keratinocyte progenitor cell,ABCG2,Skin
406,Adipose-derived stem cell,"CD105,CD29,CD31,CD34,CD44,CD49d,CD73,CD90",Abdominal adipose tissue
407,Adipose progenitor cell,CD29,Adipose tissue
408,Cancer stem cell,CD44,Undefined
409,B cell,CD19,Blood
410,T cell,"CD3,CD8",Blood
411,Natural killer cell,"CD16,CD56",Blood
412,Cancer stem cell,ICAM1,Undefined
413,Cancer stem cell,ALDH1,Breast
414,Cancer stem cell,"CD24,CD44",Breast
415,Endothelial progenitor cell,CD31,Umbilical cord blood
416,Cancer stem cell,"CD133,ESA",Venous blood
417,Myoepithelial cell,Podoplanin,Parotid gland
418,Epithelial cell,SSEA-1,Endometrium
419,Cancer stem cell,CD133,Undefined
420,Trophoblast cell,Laeverin,Placenta
421,Cancer stem cell,"CD133,CD15",Brain
422,Endothelial cell,"CD105,CD11b,CD146,CD34,CD45",Antecubital vein
423,Intestinal stem cell,"CD166,CD24,CD44",Intestinal crypt
424,Endometrial stromal stem cell,"CD29,CD34,CD45,CD90",Endometrium stroma
425,Adipose-derived stem cell,"CD105,CD31,CD34,CD45,CD90",Adipose tissue
426,Cancer stem cell,CD44,Undefined
427,Adipose-derived stromal cell,"CD10,CD105,CD13,CD166,CD29,CD44,CD71,CD73,CD90",Adipose tissue
428,Induced regulatory T (Treg) cell,"CD127,CD25,CD4,FOXP3",Peripheral blood
429,Cancer stem cell,EpCAM,Eye
430,Corneal limbal stem cell,LGR5,Limbal epithelium
431,Cancer stem cell,ALDH,Undefined
432,Mesenchymal stem cell,"PDGFR-alpha,SCA-1",Bone marrow
433,Mesenchymal progenitor cell,CD146,Muscle
434,Mesenchymal progenitor cell,CD146,Bone
435,Mesenchymal progenitor cell,CD146,Adipose tissue
436,Mesenchymal progenitor cell,CD146,Cartilage
