"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44","Experiment","10","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD133","Experiment","10","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1","Experiment","8","more details"
"Human","Muscle","Endothelial cell","Normal","CD31","Experiment","8","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD24, CD44","Experiment","7","more details"
"Human","Breast","Myoepithelial cell","Normal","P63","Experiment","7","more details"
"Human","Lung","Myofibroblast","Normal","alpha-SMA","Experiment","7","more details"
"Human","Muscle","Muscle satellite cell","Normal","PAX7","Experiment","7","more details"
"Human","Prostate","Basal cell","Normal","P63","Experiment","7","more details"
"Human","Blood vessel","Stem cell","Normal","Nestin","Experiment","6","more details"
"Human","Liver","Cancer stem cell","Liver Cancer","CD133","Experiment","6","more details"
"Human","Liver","Myofibroblast","Normal","alpha-SMA","Experiment","6","more details"
"Human","Lung","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Prostate","Basal cell","Prostate Cancer","P63","Experiment","6","more details"
"Human","Serum","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Stomach","Stem cell","Normal","LGR5","Experiment","6","more details"
"Human","Synovium","Macrophage","Normal","CD68","Experiment","6","more details"
"Human","Blood","Basophil","Normal","CD63","Experiment","5","more details"
"Human","Brain","Cancer stem cell","Brain Cancer","CD133","Experiment","5","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD133","Experiment","5","more details"
"Human","Undefined","Cancer stem cell","Breast Cancer","CD24, CD44","Experiment","5","more details"
"Human","Bone marrow","Plasma cell","Normal","CD138","Experiment","4","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44","Experiment","4","more details"
"Human","Skin","Endothelial cell","Normal","CD31","Experiment","4","more details"
"Human","Blood","Memory B cell","Normal","CD27","Experiment","3","more details"
"Human","Blood","T cell","Normal","CD3","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD44","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, CD44","Experiment","3","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133","Experiment","3","more details"
"Human","Breast","Epithelial cell","Normal","E-cadherin","Experiment","3","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD133, CD44","Experiment","3","more details"
"Human","Kidney","T cell","Normal","CD3","Experiment","3","more details"
"Human","Liver","Cancer stem cell","Hepatocellular Cancer","CD133","Experiment","3","more details"
"Human","Liver","Endothelial cell","Normal","CD31","Experiment","3","more details"
"Human","Liver","Monocyte","Normal","CD14, CD16","Experiment","3","more details"
"Human","Liver","Progenitor cell","Normal","Keratin-19, Keratin-7","Experiment","3","more details"
"Human","Liver","T cell","Normal","CD3","Experiment","3","more details"
"Human","Lung","Cancer stem cell","Lung Adenocarcinoma","CD133","Experiment","3","more details"
"Human","Lung","Cancer stem cell","Normal","CD44","Experiment","3","more details"
"Human","Lung","Clara cell","Normal","CC10","Experiment","3","more details"
"Human","Lymph node","Macrophage","Normal","CD68","Experiment","3","more details"
"Human","Muscle","Stem cell","Normal","SCA-1","Experiment","3","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c","Experiment","3","more details"
"Human","Prostate","Cancer stem cell","Normal","CD133","Experiment","3","more details"
"Human","Prostate","Epithelial cell","Normal","E-Cadherin","Experiment","3","more details"
"Human","Testis","Spermatogonial stem cell","Normal","SSEA-4","Experiment","3","more details"
"Human","Undefined","Cancer stem cell","Gastric Cancer","CD44","Experiment","3","more details"
"Human","Undefined","Cancer stem cell","Glioma","CD133","Experiment","3","more details"
"Human","Undefined","Epithelial cell","Non-small Cell Lung Cancer","E-cadherin","Experiment","3","more details"
"Human","Undefined","Cancer stem cell","Normal","CD133","Experiment","3","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","STRO-1","Experiment","2","more details"
"Human","Adipose tissue","Pericyte","Normal","CD146, NG2","Experiment","2","more details"
"Human","Amniotic membrane","Stem cell","Normal","ABCG2, P63","Experiment","2","more details"
"Human","Artery","Macrophage","Normal","CD68","Experiment","2","more details"
"Human","Artery","T cell","Normal","CD3","Experiment","2","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Breast Cancer","CD44","Experiment","2","more details"
"Human","Blood","Cancer stem cell","Gastric Cancer","CD44","Experiment","2","more details"
"Human","Blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Blood","Dendritic cell","Normal","CD83","Experiment","2","more details"
"Human","Blood","Memory B cell","Normal","CD19, CD27","Experiment","2","more details"
"Human","Blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Blood","Neutrophil","Normal","CD66b","Experiment","2","more details"
"Human","Blood","White blood cell","Normal","CD45","Experiment","2","more details"
"Human","Bone marrow","Mesenchymal stem cell","Normal","CD105, CD73, CD90","Experiment","2","more details"
"Human","Bone marrow","Mesenchymal stem cell","Normal","STRO-1","Experiment","2","more details"
"Human","Bone marrow","Monocyte","Normal","CD14, CD16","Experiment","2","more details"
"Human","Bone","Osteocyte","Normal","SOST","Experiment","2","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CD133","Experiment","2","more details"
"Human","Brain","Astrocyte","Normal","GFAP","Experiment","2","more details"
"Human","Brain","Macrophage","Normal","CD68","Experiment","2","more details"
"Human","Brain","Neuron","Normal","NeuN","Experiment","2","more details"
"Human","Brain","Oligodendrocyte","Normal","OLIG2","Experiment","2","more details"
"Human","Brain","T cell","Normal","CD3","Experiment","2","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1A1","Experiment","2","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD133, CD24, CD44","Experiment","2","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD133, CD44","Experiment","2","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD44","Experiment","2","more details"
"Human","Embryo","Cancer stem cell","Hepatocellular Cancer","EpCAM","Experiment","2","more details"
"Human","Embryo","Germ cell","Normal","OCT4","Experiment","2","more details"
"Human","Intervertebral disc","Endothelial cell","Normal","CD31","Experiment","2","more details"
"Human","Intervertebral disc","Endothelial cell","Normal","CD34","Experiment","2","more details"
"Human","Kidney","B cell","Normal","CD20","Experiment","2","more details"
"Human","Liver","Cancer stem cell","Colorectal Cancer","CD133, CD44","Experiment","2","more details"
"Human","Liver","Cancer stem cell","Liver Cancer","CD90","Experiment","2","more details"
"Human","Liver","B cell","Normal","CD19","Experiment","2","more details"
"Human","Liver","B cell","Normal","CD20","Experiment","2","more details"
"Human","Liver","Endothelial cell","Normal","CD34","Experiment","2","more details"
"Human","Liver","Hepatocyte","Normal","ALB","Experiment","2","more details"
"Human","Liver","Hepatocyte","Normal","Albumin","Experiment","2","more details"
"Human","Liver","Ito cell (hepatic stellate cell)","Normal","alpha-SMA","Experiment","2","more details"
"Human","Liver","Kupffer cell","Normal","CD68","Experiment","2","more details"
"Human","Liver","Liver progenitor cell","Normal","Keratin-19, Keratin-7","Experiment","2","more details"
"Human","Liver","Natural killer cell","Normal","CD56","Experiment","2","more details"
"Human","Liver","Platelet","Normal","CD42b","Experiment","2","more details"
"Human","Liver","Stem cell","Normal","Nestin","Experiment","2","more details"
"Human","Liver","T cell","Normal","CD3, CD4, CD8","Experiment","2","more details"
"Human","Lung","Cancer stem cell","Lung Adenocarcinoma","ALDH1A1, CD133","Experiment","2","more details"
"Human","Lung","Cancer stem cell","Non-Small Cell Lung Cancer","CD133","Experiment","2","more details"
"Human","Lung","Endothelial cell","Normal","CD31","Experiment","2","more details"
"Human","Lung","M2 macrophage","Normal","CCL18","Experiment","2","more details"
"Human","Lymph node","B cell","Lymphoma","PAX5","Experiment","2","more details"
"Human","Lymph node","B cell","Normal","CD20","Experiment","2","more details"
"Human","Lymph node","T cell","Normal","CD3","Experiment","2","more details"
"Human","Molar","Stem cell","Normal","CD105, CD29, CD90","Experiment","2","more details"
"Human","Muscle","Stem cell","Normal","CD34, SCA-1","Experiment","2","more details"
"Human","Muscle","Stem cell","Normal","CD34","Experiment","2","more details"
"Human","Pancreatic islet","Beta cell","Normal","Insulin","Experiment","2","more details"
"Human","Peripheral blood","Cancer cell","Melanoma (circulating)","ABCB5, CD271, MCAM, MCSP","Experiment","2","more details"
"Human","Peripheral blood","B cell","Normal","CD19","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD203c, CD63","Experiment","2","more details"
"Human","Peripheral blood","Basophil","Normal","CD63","Experiment","2","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","CD4","Experiment","2","more details"
"Human","Peripheral blood","Endothelial progenitor cell","Normal","CD133, KDR","Experiment","2","more details"
"Human","Peripheral blood","Leukocyte","Normal","CD45","Experiment","2","more details"
"Human","Peripheral blood","Monocyte","Normal","CD14","Experiment","2","more details"
"Human","Peripheral blood","Natural killer cell","Normal","CD56","Experiment","2","more details"
"Human","Peripheral blood","Non-switched memory B cell","Normal","CD19, CD27, IgD","Experiment","2","more details"
"Human","Peripheral blood","Regulatory T (Treg) cell","Normal","CD39","Experiment","2","more details"
"Human","Placenta","Trophoblast cell","Normal","Cytokeratin-7","Experiment","2","more details"
"Human","Prostate","Basal cell","Normal","HMWCK, P63","Experiment","2","more details"
"Human","Prostate","Basal cell","Normal","Keratin-5","Experiment","2","more details"
"Human","Prostate","Cancer stem cell","Normal","CD133, CD44","Experiment","2","more details"
"Human","Prostate","Luminal cell","Normal","Cytokeratin-18","Experiment","2","more details"
"Human","Prostate","Epithelial cell","Prostate Cancer","E-Cadherin","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","CD11b","Experiment","2","more details"
"Human","Serum","Macrophage","Normal","F4/80","Experiment","2","more details"
"Human","Skin","Keratinocyte","Normal","CK14","Experiment","2","more details"
"Human","Skin","Langerhans cell","Normal","CD1a, CD207","Experiment","2","more details"
"Human","Skin","Langerhans cell","Normal","CD1a","Experiment","2","more details"
"Human","Spleen","Dendritic cell","Normal","CD11c","Experiment","2","more details"
"Human","Spleen","Neutrophil","Normal","MPO","Experiment","2","more details"
"Human","Stomach","Cancer stem cell","Gastric Cancer","CD44","Experiment","2","more details"
"Human","Stomach","Cancer stem cell","Normal","CD44","Experiment","2","more details"
"Human","Synovium","B cell","Normal","CD20","Experiment","2","more details"
"Human","Synovium","T cell","Normal","CD3","Experiment","2","more details"
"Human","Testis","Leydig cell","Normal","HSD3B","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Glioblastoma","CD133","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Head And Neck Squamous Cell Carcinoma","CD44","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Leukemia","IL1RAP","Experiment","2","more details"
"Human","Undefined","Epithelial cell","Lung Adenocarcinoma","E-cadherin","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Lung Cancer","CD133","Experiment","2","more details"
"Human","Undefined","Epithelial cell","Lung Carcinoma","E-cadherin","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Nasopharyngeal Cancer","CD133","Experiment","2","more details"
"Human","Undefined","Type II pneumocyte","Non-small Cell Lung Cancer","MUC1","Experiment","2","more details"
"Human","Undefined","B cell","Normal","CD10, CD19","Experiment","2","more details"
"Human","Undefined","Embryonic stem cell","Normal","EpCAM","Experiment","2","more details"
"Human","Undefined","Endothelial cell","Normal","CD31","Experiment","2","more details"
"Human","Undefined","Myofibroblast","Normal","alpha-SMA","Experiment","2","more details"
"Human","Undefined","Cancer stem cell","Prostate Cancer","CD133, CD44","Experiment","2","more details"
"Human","Undefined","T cell","T-cell Acute Lymphoblastic Leukemia","CD5, Terminal deoxynucleotidyltransferase","Experiment","2","more details"
"Human","Abdominal adipose tissue","Adipose-derived stem cell","Normal","CD105, CD14, CD44, CD45, CD90","Experiment","1","more details"
"Human","Abdominal adipose tissue","Adipose-derived stem cell","Normal","CD105, CD29, CD31, CD34, CD44, CD49d, CD73, CD90","Experiment","1","more details"
"Human","Abdominal adipose tissue","Adipose-derived stromal cell","Normal","DLK1","Experiment","1","more details"
"Human","Abdominal adipose tissue","Adipose progenitor cell","Normal","DLK1","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Lipoma","CD34","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD10, CD11a, CD11c, CD144, CD34, CD44, CD49d, CD54, CD55, CD59, CD71, CD9","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, c-Kit","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, CD271, CD49a, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, CD29, CD44, c-Myc, KLF4, NANOG, OCT4, SOX2","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, CD31, CD34, CD45, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD105, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD106, CD29, CD31, CD34, CD45, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD106, CD29, CD34, CD44, CD45, HLA-ABC","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD146, CD90, KLF4, NANOG, Nestin, OCT4, PDGFR, SOX2","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD31, CD34, CD45","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD31","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stem cell","Normal","CD44, CD73, CD9, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stromal cell","Normal","CD10, CD105, CD13, CD166, CD29, CD44, CD71, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stromal cell","Normal","CD105, CD106, CD34, CD44, CD45, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stromal cell","Normal","CD105, CD29, CD44, c-Myc, KLF4, NANOG, OCT4, SOX2","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stromal cell","Normal","CD144, CD31, CD34","Experiment","1","more details"
"Human","Adipose tissue","Adipose-derived stromal cell","Normal","CD31","Experiment","1","more details"
"Human","Adipose tissue","Adipose multilineage-differentiating stress-enduring cell","Normal","CD105, CD90, SSEA-3","Experiment","1","more details"
"Human","Adipose tissue","Adipose progenitor cell","Normal","CD29","Experiment","1","more details"
"Human","Adipose tissue","Beige adipogenic precursor cell","Normal","EBF2","Experiment","1","more details"
"Human","Adipose tissue","Brown adipogenic precursor cell","Normal","EBF2","Experiment","1","more details"
"Human","Adipose tissue","Dedifferentiation adipocyte","Normal","CD106, CD29, CD34, CD44, CD45, HLA-ABC","Experiment","1","more details"
"Human","Adipose tissue","Endoderm progenitor cell","Normal","CD133, CD31, CD34","Experiment","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","ABCG2, CD133, CD31, CD34","Experiment","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","CD105, CD31, VWF","Experiment","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","CD31, CD34","Experiment","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","CD31, VWF","Experiment","1","more details"
"Human","Adipose tissue","Endothelial cell","Normal","CD31","Experiment","1","more details"
"Human","Adipose tissue","Endothelial progenitor cell","Normal","CD34","Experiment","1","more details"
"Human","Adipose tissue","Macrophage","Normal","CD14, CD206, CD45","Experiment","1","more details"
"Human","Adipose tissue","Macrophage","Normal","CD14, CD68","Experiment","1","more details"
"Human","Adipose tissue","Macrophage","Normal","CD16, CD32","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal progenitor cell","Normal","CD146","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD14, CD29, CD34, CD44, CD45, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD29, CD31, CD44, CD45, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD29, CD34, CD44, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD34, CD44, CD45","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD34, CD70, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD105, CD90, NANOG, OCT4, SOX2","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD29, CD44, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD31, CD34, CD44, CD45, CD73, CD90, CD105","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","CD44, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stem cell","Normal","NANOG, OCT4, SSEA-4, TRA-1-60, TRA-1-81","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stromal cell","Normal","CD105, CD44, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Mesenchymal stromal cell","Normal","CD271, CD34, CD44, MSCA-1, SUSD2","Experiment","1","more details"
"Human","Adipose tissue","Multipotent mesenchymal stroma cell","Normal","CD105, CD34, CD45, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Natural killer cell","Normal","CD158, CD16, CD314, CD56, CD94, FASL, NKP46","Experiment","1","more details"
"Human","Adipose tissue","Neuron","Normal","MAP2, NeuN, Synapsin, Tuj1","Experiment","1","more details"
"Human","Adipose tissue","Preadipocyte progenitor cell","Normal","CD34, PDGFR-alpha","Experiment","1","more details"
"Human","Adipose tissue","Preadipocyte","Normal","CD31, CD36","Experiment","1","more details"
"Human","Adipose tissue","Smooth muscle cell","Normal","CD146, CD31","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Normal","ABCG2, CD34, CD90, P63","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Normal","CD105, CD29, CD34, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Normal","CD105, CD31, CD34, CD45, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Normal","CD29, CD44","Experiment","1","more details"
"Human","Adipose tissue","Stem cell","Normal","CD44, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Stromal cell","Normal","CD105, CD44, CD73, CD90","Experiment","1","more details"
"Human","Adipose tissue","Stromal cell","Normal","GREM1","Experiment","1","more details"
"Human","Adipose tissue","Stromal vascular fraction cell","Normal","CD34","Experiment","1","more details"
"Human","Adrenal gland","Chromaffin cell","Normal","CD56","Experiment","1","more details"
"Human","Adrenal gland","Definitive zone cell","Normal","CD56","Experiment","1","more details"
"Human","Adventitia","Multipotent stem cell","Normal","CD34, CD44, CD45, CD73, CD90","Experiment","1","more details"
"Human","Airway epithelium","Basal cell","Normal","CD151","Experiment","1","more details"
"Human","Alveolus","Macrophage","Normal","CR3, HLA-DR","Experiment","1","more details"
"Human","Amniotic fluid","Amniotic fluid stem cell","Normal","CD44, CD105, CD73, CD90","Experiment","1","more details"
"Human","Amniotic fluid","Mesenchymal stem cell","Normal","CD44","Experiment","1","more details"
"Human","Amniotic fluid","Stem cell","Normal","CD105, CD13, CD29, CD44, CD90, OCT4","Experiment","1","more details"
"Human","Amniotic fluid","Stem cell","Normal","CD105, CD166, CD73, CD90, HLA-ABC","Experiment","1","more details"
"Human","Amniotic fluid","Stem cell","Normal","CD117","Experiment","1","more details"
"Human","Amniotic fluid","Stem cell","Normal","VEGFR-1, VEGFR-2","Experiment","1","more details"
"Human","Amniotic membrane","Amnion epithelial cell","Normal","NANOG, OCT3/4","Experiment","1","more details"
"Human","Amniotic membrane","Epithelial cell","Normal","Cytokeratin, E-cadherin","Experiment","1","more details"
"Human","Amniotic membrane","Mesenchymal stem cell","Normal","CD105, CD44, CD73","Experiment","1","more details"
"Human","Amniotic membrane","Mesenchymal stem cell","Normal","CD34, CD44, CD45","Experiment","1","more details"
"Human","Amniotic membrane","Mesenchymal stem cell","Normal","CD44","Experiment","1","more details"
"Human","Amniotic membrane","Mesenchymal stromal cell","Normal","CD105, CD166, CD73, CD90","Experiment","1","more details"
"Human","Amniotic membrane","Stem cell","Normal","ABCG2, P63, Vimentin","Experiment","1","more details"
"Human","Amniotic membrane","Stem cell","Normal","P63","Experiment","1","more details"
"Human","Amniotic membrane","Stromal cell","Normal","Vimentin","Experiment","1","more details"
"Human","Antecubital vein","Endothelial cell","Normal","CD105, CD11b, CD146, CD34, CD45","Experiment","1","more details"
"Human","Anterior cruciate ligament","Mesenchymal stem cell","Normal","CD105, CD29, CD44, CD90","Experiment","1","more details"
"Human","Artery","T cell","Normal","CD25, CD3, CD4, CD8","Experiment","1","more details"
"Human","Ascites","T cell","Normal","CD4, CD8","Experiment","1","more details"
"Human","Ascites","Natural killer cell","Ovarian Cancer","CD56, CD16, CD3","Experiment","1","more details"
"Human","Ascites","Regulatory T (Treg) cell","Ovarian Cancer","CD25, CD4, FOXP3","Experiment","1","more details"
"Human","Ascites","T cell","Ovarian Cancer","CD4","Experiment","1","more details"
"Human","Ascites","T cell","Ovarian Cancer","CD8","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","ALDH1","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","CD133, OCT4","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","CD133","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","CD24, CD44, CD47","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","CD44v6, EMA","Experiment","1","more details"
"Human","Bladder","Cancer stem cell","Bladder Cancer","SOX2","Experiment","1","more details"
"Human","Bladder","Endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Bladder","Epithelial cell","Normal","EMA","Experiment","1","more details"
"Human","Bladder","Interstitial cell","Normal","N-cadherin","Experiment","1","more details"
"Human","Bladder","Urothelium cell","Normal","UGP85","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Brain Cancer","CD133, Nestin","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Glioma","CD31, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD102, CD31, TIE-1, TIE-2, VEGF","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105, VEGFR","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD105","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD31, CD34, CD39, VEGFR-2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","Endoglin, VE-Cadherin","Experiment","1","more details"
"Human","Blood vessel","Endothelial progenitor cell","Normal","CD133, CD34","Experiment","1","more details"
"Human","Blood vessel","Mesenchymal stromal cell","Normal","CD90","Experiment","1","more details"
"Human","Blood vessel","Smooth muscle cell","Normal","ACTA2","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","C-Kit, CD30, OCT4, PLAP","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD31, CD71, CD90, Nestin","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","CD34","Experiment","1","more details"
"Human","Blood vessel","Stem cell","Normal","OCT4, SOX2","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Pancreatic Cancer","CD31","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Acute Myelogenous Leukemia","N-cadherin, TIE-2","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","CD24, CD44, CD45, EpCAM, Integrin beta-1, uPAR","Experiment","1","more details"
"Human","Blood","Cancer cell","Breast Cancer (circulating)","EpCAM, HER2, PSA","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Breast Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Epithelial cell","Breast Cancer","Cytokeratin-19","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Breast Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer cell","Chronic Lymphocytic Leukemia","CD20","Experiment","1","more details"
"Human","Blood","Basophil","Chronic Myeloid Leukemia","BSP1","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Colon Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Colon Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Colorectal Cancer","DCLK1","Experiment","1","more details"
"Human","Blood","Cancer cell","Gastric Cancer (circulating)","EpCAM","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Glioblastoma","c-Myc, CD133, Nestin","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Head And Neck Squamous Cell Carcinoma","CD44","Experiment","1","more details"
"Human","Blood","Myeloid-derived suppressor cell","Hepatocellular Cancer","CD11b, CD33","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Liver Cancer","EpCAM","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Lung Cancer","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Lung Cancer","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cytokine induced killer cell","Lymphoma","CD3, CD56","Experiment","1","more details"
"Human","Blood","Regulatory T (Treg) cell","Lymphoma","CD25, CD4","Experiment","1","more details"
"Human","Blood","Cancer cell","Melanoma (circulating)","HLA-ABC","Experiment","1","more details"
"Human","Blood","Cancer stem cell","Melanoma","CD133","Experiment","1","more details"
"Human","Blood","Cancer cell","Non-small Cell Lung Cancer (circulating)","CK18","Experiment","1","more details"
"Human","Blood","Activated CD4+ T cell","Normal","CCR6, CD14, CD19, CD38, CD4, CD45RA, CD45RO, CD69, CXCR3","Experiment","1","more details"
"Human","Blood","Activated CD4+ T cell","Normal","CD25, CD29, CD4, CD71","Experiment","1","more details"
"Human","Blood","Angiogenic T cell","Normal","CD3, CD31, CXCR4","Experiment","1","more details"
"Human","Blood","B cell","Normal","AID, CD10, CD257, CD28, CD38, CD71, CD86","Experiment","1","more details"
"Human","Blood","B cell","Normal","CD20","Experiment","1","more details"
"Human","Blood","B cell","Normal","FMC7","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CCR3, CD123","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CCR3","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD123","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD19, CD22","Experiment","1","more details"
"Human","Blood","Basophil","Normal","CD203c","Experiment","1","more details"
"Human","Blood","Basophil","Normal","HLA-DR","Experiment","1","more details"
"Human","Blood","CD14+ endothelial progenitor cell","Normal","CD14, KDR","Experiment","1","more details"
"Human","Blood","CD14++CD16- monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","CD14+CD16+ monocyte","Normal","CD14, CD16","Experiment","1","more details"
"Human","Blood","CD4+ T cell","Normal","CCR6","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD3, CD8","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD30","Experiment","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD56, CD8","Experiment","1","more details"
